Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
98,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,0.03,0.00,0.00,0.59,0.12,0.00,20.0,0.59,0.12,0.05,0.25,0.04,0.04,0.06,-0.01,-0.01,Matches
99,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,8.4,0.00,0.00,0.00,0.83,0.24,0.00,28.6,0.83,0.24,0.00,0.00,0.10,0.10,0.12,-0.10,-0.10,Matches
100,Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,0.00,0.00,0.00,1.67,1.67,0.00,100.0,1.55,1.55,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,28,1990,23.4,0.26,0.00,0.00,2.78,1.07,0.00,38.5,2.78,1.07,0.09,0.24,0.30,0.30,0.11,-0.05,-0.05,Matches
102,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,30,1987,20.7,0.10,0.00,0.00,0.39,0.10,0.00,25.0,0.39,0.10,0.25,1.00,0.04,0.04,0.10,0.06,0.06,Matches
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,31,1987,24.2,0.04,0.00,0.00,1.20,0.25,0.17,20.7,1.20,0.25,0.03,0.17,0.03,0.03,0.03,0.01,0.01,Matches
104,Anuar\Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,12.0,0.08,0.00,0.00,0.83,0.33,0.00,40.0,0.83,0.33,0.10,0.25,0.21,0.21,0.25,-0.13,-0.13,Matches
105,Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,0.00,0.00,0.00,0.88,0.09,0.18,10.0,0.88,0.09,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
106,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34.0,0.21,0.00,0.00,2.12,0.68,0.03,31.9,2.12,0.68,0.10,0.30,0.21,0.21,0.10,-0.01,-0.01,Matches
107,Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
108,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,0.03,0.00,0.00,0.88,0.30,0.10,34.6,0.87,0.30,0.04,0.11,0.04,0.04,0.05,-0.01,-0.01,Matches
109,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,7.0,0.00,0.00,0.00,0.71,0.29,0.00,40.0,0.72,0.29,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
110,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,0.10,0.00,0.00,1.05,0.24,0.14,22.7,1.05,0.24,0.09,0.40,0.06,0.06,0.06,0.03,0.03,Matches
111,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,0.34,0.00,0.00,2.87,1.03,0.23,36.0,2.88,1.04,0.12,0.33,0.29,0.29,0.10,0.06,0.06,Matches
112,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,0.10,0.00,0.00,0.40,0.23,0.00,58.3,0.40,0.23,0.25,0.43,0.06,0.06,0.14,0.04,0.04,Matches
113,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,0.05,0.00,0.00,0.88,0.05,0.14,5.3,0.88,0.05,0.05,1.00,0.03,0.03,0.04,0.01,0.01,Matches
114,Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
115,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
