,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
70,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,48.7,39.0,9.68,0.95,0.00,5.08,0.16,3.49,0.00,0.00,0.00,0.00,24.3,5.71,18.7,3.65,31.6,3.49,8.73,0.16,31.3,0.00,1.90,0.32,2.06,Matches
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,34.2,22.8,11.4,1.85,0.00,3.46,0.62,0.00,0.00,0.00,0.00,0.00,14.0,1.15,19.0,3.77,25.4,0.00,0.00,3.31,22.5,0.31,0.62,0.31,0.08,Matches
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,11.9,41.7,41.0,0.67,0.67,0.00,5.80,1.01,0.00,0.00,0.00,0.00,0.00,27.6,4.71,9.33,4.79,31.7,3.45,0.00,0.17,33.9,0.17,1.01,0.42,0.25,Matches
73,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,43.0,41.0,1.97,1.79,0.03,4.93,1.07,0.14,0.00,0.00,0.00,0.00,30.1,3.79,9.10,2.93,36.0,2.97,0.14,0.17,35.4,0.10,1.07,0.52,0.31,Matches
74,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,37.0,34.8,2.22,2.12,0.00,5.17,2.03,0.52,0.00,0.00,0.00,0.00,21.4,5.17,10.5,4.06,28.1,3.26,0.00,0.34,29.6,0.37,0.80,0.31,0.37,Matches
75,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18.0,88.3,83.6,4.67,0.94,1.00,20.0,2.33,3.33,0.33,0.00,0.00,0.00,64.8,10.8,12.6,9.11,73.8,1.61,3.39,0.17,73.7,0.61,1.56,1.50,2.50,Matches
76,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,20.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,10.0,0.00,10.0,10.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,Matches
77,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,42.9,42.1,0.82,0.71,0.00,10.5,1.29,0.71,0.00,0.00,0.00,0.00,31.1,5.76,6.12,5.76,32.7,2.71,0.00,0.24,36.8,0.24,0.82,0.35,1.53,Matches
78,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28.0,38.3,37.5,0.75,0.32,0.14,6.50,1.89,0.93,0.00,0.00,0.00,0.00,25.8,4.46,8.04,4.14,31.7,1.54,0.43,0.14,30.0,0.18,0.86,0.57,0.86,Matches
79,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,61.0,53.5,7.46,0.42,0.00,7.04,0.99,0.42,0.00,0.00,0.00,0.00,40.3,8.17,12.5,5.07,44.2,3.38,7.04,0.56,49.9,0.14,1.13,1.27,0.56,Matches
80,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,42.0,39.6,2.38,2.15,0.00,5.83,1.92,0.00,0.00,0.00,0.00,0.00,30.5,4.46,7.04,8.57,29.9,2.80,0.23,0.10,35.2,0.20,1.01,0.36,0.55,Matches
81,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,11.1,19.5,19.4,0.18,0.00,0.00,3.24,0.27,0.99,0.09,0.00,0.00,0.00,12.9,2.97,3.69,4.95,12.0,1.53,0.00,0.36,13.6,0.45,0.45,0.90,0.90,Matches
82,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,53.5,43.4,10.1,0.79,0.04,10.0,0.99,3.43,0.00,0.00,0.00,0.00,29.5,9.71,14.3,28.8,9.75,3.80,9.30,0.08,40.0,0.12,1.49,0.95,2.11,Matches
83,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,37.1,29.9,7.25,0.94,0.03,5.97,0.63,0.72,0.00,0.00,0.00,0.00,22.3,6.59,8.22,4.94,23.4,1.56,6.31,0.06,29.3,0.13,0.91,0.84,0.84,Matches
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,8.4,45.5,44.0,1.43,0.60,0.00,8.45,0.48,1.43,0.12,0.12,0.00,0.00,33.2,8.10,4.17,6.43,36.4,1.67,0.71,0.12,38.9,0.12,0.12,0.60,0.95,Matches
85,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,Matches
87,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,64.0,61.2,2.84,2.78,0.00,8.88,3.69,0.03,0.00,0.00,0.00,0.00,48.5,5.44,10.1,10.9,48.3,3.13,0.06,0.16,56.8,0.09,1.09,0.69,0.44,Matches
88,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,33.8,53.8,49.9,3.88,1.69,0.30,9.26,2.46,3.61,1.36,0.03,0.15,0.00,36.8,6.60,10.4,5.98,45.3,1.39,0.77,0.24,39.3,0.27,0.83,1.45,3.20,Matches
89,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,18.4,17.7,0.71,0.00,0.00,5.00,0.20,0.51,0.00,0.00,0.00,0.00,10.6,4.29,3.47,1.84,11.4,2.55,0.00,0.31,12.4,0.00,0.82,0.51,1.02,Matches
90,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,53.4,52.1,1.26,0.97,0.11,12.1,0.87,0.43,0.00,0.00,0.00,0.00,36.8,8.41,8.19,6.75,39.9,3.25,0.04,0.25,42.7,0.36,1.08,1.41,1.19,Matches
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,57.5,57.5,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,45.0,3.33,9.17,7.50,45.0,5.00,0.00,0.00,51.7,0.00,0.83,0.00,0.83,Matches
92,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,32.4,31.4,0.97,0.97,0.00,5.56,0.83,0.00,0.00,0.00,0.00,0.00,21.3,3.06,8.06,7.08,22.2,1.39,0.00,0.28,26.5,0.14,1.25,0.00,0.14,Matches
93,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Matches
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,32.9,23.5,9.45,2.45,0.00,1.55,0.82,0.00,0.00,0.00,0.00,0.00,17.2,1.91,13.8,4.09,24.2,0.00,0.00,3.00,26.5,0.18,0.64,0.09,0.00,Matches
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,63.9,48.5,15.4,1.93,0.09,9.14,3.93,7.74,1.37,0.03,0.42,0.00,22.5,11.7,29.7,42.4,5.24,2.98,12.1,0.30,41.8,0.36,2.41,1.04,2.14,Matches
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,43.7,33.6,10.1,1.54,0.00,6.07,4.08,7.31,1.19,0.05,0.15,0.00,19.5,6.77,17.5,17.6,18.0,0.60,7.31,0.05,28.8,0.35,1.14,0.90,1.29,Matches
97,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,23.8,22.1,1.69,0.04,0.04,5.57,0.13,1.22,0.00,0.00,0.00,0.00,17.0,4.14,2.57,3.12,17.7,1.27,0.17,0.55,17.9,0.00,0.30,0.63,1.22,Matches
98,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,50.1,47.9,2.24,1.88,0.03,7.15,1.71,0.18,0.00,0.00,0.00,0.00,36.8,5.29,8.06,8.24,37.1,3.29,0.35,0.18,42.2,0.09,1.06,0.32,1.18,Matches
99,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,8.4,45.1,38.8,6.31,0.95,0.00,3.69,0.60,1.19,0.00,0.00,0.00,0.00,28.6,6.19,10.4,28.3,9.52,1.67,5.36,0.00,32.5,0.48,1.07,0.95,1.67,Matches
100,Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,61.7,58.3,3.33,3.33,0.00,18.3,0.00,0.00,0.00,0.00,0.00,0.00,45.0,10.0,6.67,45.0,15.0,0.00,0.00,0.00,51.7,0.00,1.67,1.67,1.67,Matches
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,28,1990,23.4,33.2,30.8,2.44,0.04,0.17,6.97,1.07,2.14,0.00,0.00,0.00,0.00,19.2,5.90,8.12,3.50,22.5,2.65,2.26,0.47,21.9,0.09,1.20,0.85,1.71,Matches
102,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,30,1987,20.7,43.6,35.9,7.68,0.43,0.00,6.14,0.97,4.49,0.00,0.00,0.00,0.00,22.9,10.0,10.6,3.57,31.2,1.26,7.25,0.10,32.4,0.24,0.97,0.72,1.74,Matches
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,31,1987,24.2,48.7,33.6,15.0,2.56,0.08,5.25,2.44,5.83,1.94,0.04,0.21,0.08,16.4,11.5,20.7,31.6,3.18,2.93,10.5,0.04,29.5,0.33,2.02,1.49,2.19,Matches
104,Anuar\Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,12.0,33.4,32.5,0.92,0.42,0.00,6.75,0.83,0.17,0.33,0.00,0.17,0.08,21.9,5.00,6.50,2.92,25.4,3.58,0.00,0.17,25.5,0.33,1.00,0.58,0.92,Matches
105,Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,49.6,44.6,4.91,1.84,0.00,6.75,2.81,4.47,2.19,0.00,0.00,0.00,31.7,6.40,11.5,40.5,4.74,2.72,0.79,0.35,40.8,0.26,0.61,0.26,1.05,Matches
106,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34.0,60.9,59.9,1.00,0.68,0.32,9.44,1.71,0.21,0.06,0.00,0.00,0.00,51.1,5.62,4.18,4.68,54.5,1.12,0.24,0.12,53.0,0.12,0.62,1.24,1.38,Matches
107,Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,35.0,35.0,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,25.0,10.0,0.00,10.0,25.0,0.00,0.00,0.00,30.0,0.00,0.00,0.00,5.00,Matches
108,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,27.1,26.1,0.98,0.64,0.00,4.92,2.19,0.81,0.07,0.00,0.07,0.00,12.4,4.58,10.1,3.30,20.1,2.26,0.10,0.20,18.9,0.24,0.77,0.47,0.84,Matches
109,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,7.0,42.1,34.6,7.57,0.71,0.00,7.71,0.43,2.71,0.00,0.00,0.00,0.00,27.7,8.14,6.29,30.3,3.14,1.43,6.86,0.14,34.1,0.29,0.86,0.71,2.14,Matches
110,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,78.4,76.0,2.43,1.76,0.48,12.0,1.48,1.14,0.52,0.00,0.14,0.05,60.5,9.05,8.90,9.33,65.3,2.38,0.14,0.81,69.0,0.38,0.71,1.14,1.24,Matches
111,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,35.7,32.6,3.10,1.15,0.11,8.28,2.07,3.45,1.15,0.23,0.46,0.00,23.0,4.60,8.16,29.1,4.71,0.80,0.80,0.11,26.7,0.57,0.69,0.57,1.03,Matches
112,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,49.6,48.1,1.54,1.38,0.03,6.54,0.84,0.07,0.00,0.00,0.00,0.00,38.8,3.99,6.81,6.71,38.9,2.79,0.17,0.07,43.6,0.10,0.57,0.37,0.34,Matches
113,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,50.4,47.6,2.81,1.80,0.00,5.67,3.64,0.37,0.00,0.00,0.00,0.00,29.4,5.53,15.5,10.8,33.5,4.47,1.01,0.09,39.4,0.09,1.71,0.78,0.69,Matches
114,Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,20.0,20.0,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,10.0,0.00,10.0,0.00,5.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,Matches
115,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,24.2,16.7,7.52,1.14,0.00,1.76,0.52,0.00,0.00,0.00,0.00,0.00,18.0,0.71,5.48,1.71,17.7,0.00,0.00,4.57,20.8,0.00,0.52,0.05,0.05,Matches
116,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,52.6,43.5,9.19,0.41,0.25,9.70,0.56,2.59,0.00,0.00,0.00,0.00,31.4,9.64,11.6,3.60,35.6,3.30,8.78,0.20,41.7,0.05,0.41,1.22,1.57,Matches
117,Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,32.5,30.5,2.03,1.98,0.05,4.49,0.96,0.05,0.00,0.00,0.00,0.00,22.8,2.35,7.33,14.5,14.7,2.25,0.05,0.21,27.4,0.05,0.53,0.05,0.11,Matches
118,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,62.5,57.5,5.00,0.00,0.00,12.5,0.00,0.00,0.00,0.00,0.00,0.00,45.0,10.0,7.50,7.50,47.5,2.50,5.00,0.00,42.5,0.00,5.00,2.50,0.00,Matches
119,Yoël Armougom\Yoel-Armougom,fr FRA,DFMF,Caen,fr Ligue 1,20,1998,20.6,44.2,35.1,9.03,0.29,0.10,6.21,1.02,3.45,0.05,0.00,0.00,0.00,21.7,8.11,14.3,30.5,2.09,2.28,8.69,0.05,30.9,0.00,1.02,0.87,1.55,Matches
120,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,eng Premier League,26,1992,15.9,41.0,38.9,2.08,0.25,0.25,9.75,1.07,1.64,0.82,0.00,0.00,0.00,28.2,7.04,5.79,7.17,30.1,2.33,0.44,0.31,31.3,0.19,0.50,1.32,2.14,Matches
121,José Arnaiz\Jose-Arnaiz,es ESP,DFMF,Leganés,es La Liga,23,1995,1.3,24.6,23.8,0.77,0.77,0.00,10.0,0.00,1.54,0.00,0.00,0.00,0.00,17.7,1.54,5.38,6.15,15.4,1.54,0.00,0.00,19.2,0.00,0.77,0.77,2.31,Matches
122,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,29.6,27.8,1.86,0.09,0.18,5.70,0.41,0.86,0.00,0.00,0.00,0.00,20.8,5.43,3.44,3.85,22.9,2.08,0.18,0.27,22.4,0.09,0.63,0.68,1.54,Matches
123,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,46.1,39.6,6.49,3.64,0.16,6.93,3.57,4.14,2.16,0.25,0.22,0.03,25.8,6.68,13.5,33.2,9.53,1.94,0.69,0.28,34.6,0.19,1.29,0.53,1.10,Matches
124,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,31.6,23.6,7.92,1.03,0.00,3.42,1.00,0.00,0.00,0.00,0.00,0.00,21.5,1.75,8.31,4.22,22.5,0.06,0.00,4.56,27.1,0.06,0.61,0.11,0.00,Matches
125,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,31.0,28.3,2.75,0.63,0.00,5.36,0.77,0.77,0.00,0.00,0.00,0.00,20.2,5.54,5.32,14.2,13.8,2.48,0.09,0.18,24.1,0.14,0.68,0.54,0.77,Matches
126,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,74.6,67.0,7.61,0.84,0.00,8.89,1.72,2.42,0.00,0.00,0.00,0.00,52.9,11.1,10.6,59.6,6.53,1.18,6.77,0.27,65.1,0.03,0.44,1.41,1.48,Matches
127,Takuma Asano\Takuma-Asano,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,7.8,21.8,21.4,0.38,0.26,0.00,6.15,0.38,1.15,0.00,0.00,0.00,0.00,15.0,4.49,2.31,5.00,14.1,1.28,0.13,0.64,15.1,0.13,0.51,1.03,1.15,Matches
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,de Bundesliga,21,1997,27.0,42.2,41.1,1.07,0.81,0.04,6.19,0.85,0.41,0.04,0.00,0.00,0.00,30.0,5.85,6.37,7.41,29.4,4.44,0.19,0.19,34.2,0.15,0.74,0.78,1.26,Matches
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32.0,25.2,14.7,10.4,2.59,0.00,0.81,0.69,0.00,0.00,0.00,0.00,0.00,9.25,1.78,14.1,2.47,17.1,0.00,0.00,4.03,16.3,0.25,0.59,0.09,0.00,Matches
130,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,22,1996,19.8,51.5,48.9,2.58,0.30,0.40,8.84,1.57,3.94,1.11,0.05,0.05,0.00,40.6,4.80,6.16,42.7,6.62,0.76,1.11,0.25,42.5,0.30,0.45,0.81,2.17,Matches
131,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,30,1987,25.0,36.2,34.4,1.80,0.56,0.08,7.48,0.92,1.28,0.20,0.00,0.00,0.00,26.7,5.88,3.60,24.2,8.92,1.84,0.48,0.32,28.9,0.16,0.16,1.08,1.16,Matches
132,Simon Asta\Simon-Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1.0,35.0,30.0,5.00,0.00,0.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,18.0,4.00,13.0,3.00,23.0,3.00,5.00,0.00,21.0,0.00,0.00,1.00,1.00,Matches
133,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,26,1992,16.6,27.3,26.8,0.54,0.00,0.00,7.95,0.36,2.53,0.18,0.06,0.06,0.00,17.8,4.70,4.82,21.0,3.86,1.57,0.36,0.24,20.2,0.18,0.72,0.54,1.20,Matches
134,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,22,1996,25.1,50.9,42.9,8.01,1.12,0.04,7.01,1.04,2.83,0.08,0.00,0.04,0.00,35.4,7.25,8.29,2.63,39.1,1.55,6.81,0.04,40.9,0.04,0.68,1.35,1.55,Matches
135,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,1989,30.3,24.5,23.2,1.29,0.00,0.13,5.45,0.26,1.49,0.00,0.00,0.00,0.00,16.7,4.16,3.60,2.28,20.3,1.06,0.13,0.13,17.4,0.23,0.43,0.63,1.35,Matches
136,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36.0,32.2,21.5,10.6,2.44,0.00,2.58,0.36,0.03,0.00,0.00,0.00,0.00,17.7,1.69,12.8,3.53,22.5,0.00,0.00,5.19,23.6,0.11,0.50,0.19,0.11,Matches
137,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,21,1997,5.1,15.7,15.7,0.00,0.00,0.20,2.75,0.00,0.39,0.00,0.00,0.00,0.00,12.5,1.57,1.57,1.57,12.4,1.57,0.00,0.00,12.7,0.00,0.20,0.59,0.39,Matches
138,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,33.6,58.9,48.3,10.6,1.19,0.03,8.30,1.58,3.81,0.60,0.00,0.00,0.00,32.9,13.4,12.5,41.5,4.61,2.89,8.81,0.24,46.4,0.09,0.89,1.04,1.64,Matches
139,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,eng Premier League,25,1992,6.3,54.4,45.9,8.57,0.63,0.00,10.3,0.79,3.65,0.00,0.00,0.00,0.00,32.2,11.7,10.5,6.19,36.8,2.38,7.94,0.00,40.2,0.00,0.79,1.11,2.54,Matches
140,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,eng Premier League,29,1989,10.9,19.1,18.3,0.73,0.09,0.09,5.32,0.28,0.00,0.00,0.00,0.00,0.00,9.91,4.40,4.77,1.56,12.1,3.49,0.00,0.46,11.7,0.09,0.55,0.18,0.55,Matches
141,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Huesca,es La Liga,24,1994,22.2,25.9,24.7,1.26,0.05,0.18,4.77,1.89,1.80,0.14,0.00,0.00,0.00,10.4,5.90,9.68,6.67,13.5,3.11,0.54,0.36,14.1,0.27,1.13,0.81,1.62,Matches
142,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,eng Premier League,26,1991,13.1,20.8,20.0,0.84,0.00,0.00,5.04,0.00,1.15,0.00,0.00,0.00,0.00,14.9,2.75,3.21,1.83,16.3,0.61,0.08,0.46,15.3,0.15,0.15,0.38,1.45,Matches
143,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,23,1994,27.2,52.6,49.2,3.35,2.94,0.04,6.14,3.42,0.15,0.00,0.00,0.00,0.00,39.5,3.90,9.15,3.79,45.7,2.02,0.40,0.26,46.5,0.07,0.74,0.55,0.59,Matches
144,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,eng Premier League,29,1988,5.3,39.4,38.3,1.13,0.38,0.00,6.42,0.57,1.32,0.38,0.00,0.00,0.19,29.2,3.96,6.23,8.11,27.0,2.26,0.38,0.75,30.0,0.00,0.38,0.19,1.89,Matches
145,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,37.8,76.5,67.0,9.50,0.71,0.05,10.3,0.79,3.15,0.00,0.00,0.00,0.00,55.0,10.0,11.5,4.18,59.2,3.49,8.78,0.19,65.4,0.16,0.69,0.61,2.46,Matches
146,Abdoulaye Ba\Abdoulaye-Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,23.4,44.3,42.5,1.79,1.71,0.00,5.98,1.62,0.04,0.00,0.00,0.00,0.00,31.2,5.00,8.08,5.73,34.9,2.44,0.09,0.30,36.6,0.04,1.41,0.34,0.47,Matches
147,Florian Baak\Florian-Baak,de GER,MF,Hertha BSC,de Bundesliga,19,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Rennes,fr Ligue 1,32,1986,1.4,64.3,52.9,11.4,0.71,0.00,5.00,0.71,0.71,0.00,0.00,0.00,0.00,37.1,10.7,16.4,48.6,2.14,2.86,10.7,0.00,50.0,0.00,1.43,0.00,1.43,Matches
149,Khouma Babacar\Khouma-Babacar,sn SEN,FW,Sassuolo,it Serie A,25,1993,16.5,18.4,16.0,2.36,0.00,0.06,3.58,0.12,0.24,0.00,0.00,0.00,0.00,13.8,2.79,1.76,1.70,14.5,1.03,0.24,0.24,15.0,0.00,0.06,0.24,0.73,Matches
150,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,eng Premier League,31,1986,13.9,37.1,34.9,2.16,0.50,0.00,7.55,1.22,2.73,1.08,0.43,0.29,0.14,26.8,4.89,5.32,2.59,32.8,0.94,0.29,0.14,29.5,0.14,0.58,0.65,1.80,Matches
151,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,31,1986,14.1,19.4,18.2,1.21,0.00,0.14,3.48,0.35,0.43,0.00,0.00,0.00,0.00,13.6,3.05,2.77,1.28,15.7,1.63,0.07,0.14,13.6,0.00,0.14,1.28,0.78,Matches
152,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,eng Premier League,20,1997,15.7,48.6,44.2,4.39,1.72,0.45,10.0,2.29,2.23,1.02,0.25,0.13,0.00,30.8,6.69,11.1,8.28,36.6,1.27,1.27,0.19,35.6,0.13,1.66,1.59,1.46,Matches
153,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,eng Premier League,26,1991,6.2,27.1,23.7,3.39,1.29,0.16,5.65,0.97,1.13,0.16,0.00,0.00,0.16,13.1,4.68,9.35,2.42,20.2,1.61,1.77,0.16,18.4,0.32,0.48,1.13,0.81,Matches
154,Milan Badelj\Milan-Badelj,hr CRO,MF,Lazio,it Serie A,29,1989,12.7,69.1,66.9,2.20,1.57,0.08,9.76,1.89,1.34,0.31,0.00,0.00,0.00,50.6,7.72,10.7,10.4,53.5,3.86,0.24,0.24,58.0,0.31,0.71,1.50,1.26,Matches
155,Holger Badstuber\Holger-Badstuber,de GER,DF,Stuttgart,de Bundesliga,29,1989,5.8,45.7,44.8,0.86,0.86,0.00,6.03,1.38,0.00,0.00,0.00,0.00,0.00,33.8,5.00,6.90,36.7,3.45,4.14,0.00,0.17,41.6,0.00,0.86,0.00,0.34,Matches
156,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,26,1992,27.4,18.7,16.4,2.30,0.07,0.04,3.98,0.18,1.06,0.00,0.00,0.00,0.00,12.9,3.58,2.19,1.79,14.6,0.88,0.22,0.47,12.7,0.00,0.44,0.55,1.39,Matches
157,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,de Bundesliga,34,1984,31.3,51.2,48.8,2.46,1.73,0.06,8.53,1.41,0.61,0.00,0.00,0.00,0.00,29.8,7.54,13.9,3.35,41.7,4.50,0.64,0.48,39.2,0.26,0.99,0.80,1.05,Matches
